step,phase_id,buffer_size,tracking_error_l2,exact_mmd2,buffer_count_class_0,buffer_count_class_1,class_0_present,class_1_present
3440,3,3,0.23174304575994675,0.058727220465565666,2,1,1,1
3460,3,3,0.23124338677801987,0.05816691356966752,2,1,1,1
3480,3,3,0.23161128825474858,0.05793640469078676,2,1,1,1
3500,3,3,0.23130317831955052,0.057884217953042105,2,1,1,1
3520,3,3,0.23119980970266188,0.057933066167877745,2,1,1,1
3540,3,3,0.23354445536982096,0.05932873571074071,2,1,1,1
3560,3,3,0.23127846852994796,0.05788373354167131,2,1,1,1
3580,3,3,0.23300412671208284,0.05842108560761694,2,1,1,1
3600,3,3,0.2310800201633315,0.05798875335042397,2,1,1,1
3620,3,3,0.23164115955578893,0.058155443619691716,2,1,1,1
3640,3,3,0.23145316338818345,0.058112390895842636,2,1,1,1
3660,3,3,0.2318257275645512,0.05844654501066615,2,1,1,1
3680,3,3,0.23162212900537588,0.058174640377138154,2,1,1,1
3700,3,3,0.23245677854995547,0.05877826179818246,2,1,1,1
3720,3,3,0.23152675292952274,0.05808986663812277,2,1,1,1
3740,3,3,0.23177873932042153,0.05803545846442859,2,1,1,1
3760,3,3,0.23165172692936153,0.05792189116933388,2,1,1,1
3780,3,3,0.23192344702485193,0.05803433017862947,2,1,1,1
3800,3,3,0.23259348137952518,0.0584319598610723,2,1,1,1
3820,3,3,0.2325071099507844,0.05876066239213307,2,1,1,1
3840,3,3,0.23240563463815014,0.058531272414012236,2,1,1,1
3860,3,3,0.23275698723143162,0.05847081838781598,2,1,1,1
3880,3,3,0.2330765394036225,0.059030230624407154,2,1,1,1
3900,3,3,0.23270821132623043,0.05863386557994987,2,1,1,1
3920,3,3,0.2345415890657376,0.057520276455668484,2,1,1,1
3940,3,3,0.23468101609313768,0.05758100795333965,2,1,1,1
3960,3,3,0.23385328411894635,0.05725363304943554,2,1,1,1
3980,3,3,0.23348112672234259,0.05708174245259989,2,1,1,1
4000,3,3,0.23502419438292732,0.057681605972225936,2,1,1,1
4020,3,3,0.23366270404964345,0.0571272131346966,2,1,1,1
4040,3,3,0.23459832175820772,0.05757405457779108,2,1,1,1
4060,3,3,0.22487853844346586,0.05242209514846685,2,1,1,1
4080,3,3,0.224582542389717,0.05235327548908353,2,1,1,1
4100,3,3,0.22521059062254276,0.05265846955753617,2,1,1,1
4120,3,3,0.22515026079486847,0.05250295806615091,2,1,1,1
4140,3,3,0.22442233605466957,0.05229947294377357,2,1,1,1
4160,3,3,0.22663910143777383,0.053109867434030344,2,1,1,1
4180,3,3,0.22511967942425185,0.05246786497749789,2,1,1,1
4200,3,3,0.2249048856482895,0.0525779555288709,2,1,1,1
4220,3,3,0.22491409715885194,0.05249498222631388,2,1,1,1
4240,3,3,0.22497639368820754,0.05247320834190783,2,1,1,1
4260,3,3,0.2257266071919318,0.05269955585723929,2,1,1,1
4280,3,3,0.22511532516985178,0.052501587649632864,2,1,1,1
4300,3,3,0.22493162492230084,0.05255404477920911,2,1,1,1
4320,3,3,0.2245935538300698,0.052296011204386206,2,1,1,1
4340,3,3,0.2249369311709846,0.05236814431647141,2,1,1,1
4360,3,3,0.2296115448473468,0.054354763482686086,2,1,1,1
4380,3,3,0.2360459775318686,0.05857295073405966,2,1,1,1
4400,3,3,0.23573193474350293,0.058761195377797226,2,1,1,1
4420,3,3,0.236318295432875,0.05922347924729887,2,1,1,1
4440,3,3,0.23498969561530642,0.05817587441515504,2,1,1,1
4460,3,3,0.239476030367096,0.06104155057974847,2,1,1,1
4480,3,3,0.2353059062052306,0.05835167003468111,2,1,1,1
4500,3,3,0.23791938020561887,0.05928646092314305,2,1,1,1
