step,task_id,method,class_id,prefix_mass,buffer_count,aggregate_weight,abs_mass_gap,covered
8000,4,streamcore,8,0.0,0,0.0,0.0,0
8000,4,streamcore,9,0.0,0,0.0,0.0,0
8000,4,reservoir,0,0.125,15,0.15,0.024999999999999994,1
8000,4,reservoir,1,0.125,17,0.17,0.04500000000000001,1
8000,4,reservoir,2,0.125,16,0.16,0.035,1
8000,4,reservoir,3,0.125,11,0.10999999999999999,0.015000000000000013,1
8000,4,reservoir,4,0.125,11,0.10999999999999999,0.015000000000000013,1
8000,4,reservoir,5,0.125,8,0.08,0.045,1
8000,4,reservoir,6,0.125,10,0.09999999999999999,0.02500000000000001,1
8000,4,reservoir,7,0.125,12,0.11999999999999998,0.005000000000000018,1
8000,4,reservoir,8,0.0,0,0.0,0.0,0
8000,4,reservoir,9,0.0,0,0.0,0.0,0
8000,4,sliding_window,0,0.125,0,0.0,0.125,0
8000,4,sliding_window,1,0.125,0,0.0,0.125,0
8000,4,sliding_window,2,0.125,0,0.0,0.125,0
8000,4,sliding_window,3,0.125,0,0.0,0.125,0
8000,4,sliding_window,4,0.125,0,0.0,0.125,0
8000,4,sliding_window,5,0.125,0,0.0,0.125,0
8000,4,sliding_window,6,0.125,0,0.0,0.125,0
8000,4,sliding_window,7,0.125,100,0.9999999999999999,0.8749999999999999,1
8000,4,sliding_window,8,0.0,0,0.0,0.0,0
8000,4,sliding_window,9,0.0,0,0.0,0.0,0
9000,5,streamcore,0,0.1111111111111111,13,0.14489205018945714,0.033780939078346034,1
9000,5,streamcore,1,0.1111111111111111,10,0.10629295726299004,0.004818153848121065,1
9000,5,streamcore,2,0.1111111111111111,15,0.1527180559546848,0.04160694484357369,1
9000,5,streamcore,3,0.1111111111111111,12,0.12585417875281604,0.014743067641704938,1
9000,5,streamcore,4,0.1111111111111111,10,0.10439355566931453,0.006717555441796572,1
9000,5,streamcore,5,0.1111111111111111,10,0.08628575177703098,0.02482535933408013,1
9000,5,streamcore,6,0.1111111111111111,12,0.1163526393789513,0.00524152826784019,1
9000,5,streamcore,7,0.1111111111111111,8,0.0717093460980315,0.0394017650130796,1
9000,5,streamcore,8,0.1111111111111111,10,0.09150146491672353,0.01960964619438757,1
9000,5,streamcore,9,0.0,0,0.0,0.0,0
9000,5,reservoir,0,0.1111111111111111,14,0.13999999999999999,0.02888888888888888,1
9000,5,reservoir,1,0.1111111111111111,16,0.16,0.0488888888888889,1
9000,5,reservoir,2,0.1111111111111111,14,0.13999999999999999,0.02888888888888888,1
9000,5,reservoir,3,0.1111111111111111,7,0.07,0.0411111111111111,1
9000,5,reservoir,4,0.1111111111111111,10,0.09999999999999999,0.011111111111111113,1
9000,5,reservoir,5,0.1111111111111111,7,0.07,0.0411111111111111,1
9000,5,reservoir,6,0.1111111111111111,8,0.08,0.031111111111111103,1
9000,5,reservoir,7,0.1111111111111111,12,0.11999999999999998,0.008888888888888877,1
9000,5,reservoir,8,0.1111111111111111,12,0.11999999999999998,0.008888888888888877,1
9000,5,reservoir,9,0.0,0,0.0,0.0,0
9000,5,sliding_window,0,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,1,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,2,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,3,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,4,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,5,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,6,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,7,0.1111111111111111,0,0.0,0.1111111111111111,0
9000,5,sliding_window,8,0.1111111111111111,100,0.9999999999999999,0.8888888888888888,1
9000,5,sliding_window,9,0.0,0,0.0,0.0,0
10000,5,streamcore,0,0.1,13,0.14109730799228676,0.04109730799228675,1
10000,5,streamcore,1,0.1,9,0.1008627464006592,0.0008627464006591978,1
10000,5,streamcore,2,0.1,14,0.13391346408198795,0.03391346408198795,1
10000,5,streamcore,3,0.1,11,0.11441144945813897,0.014411449458138964,1
10000,5,streamcore,4,0.1,8,0.08780433858691683,0.012195661413083175,1
10000,5,streamcore,5,0.1,8,0.07219679781325301,0.027803202186746992,1
10000,5,streamcore,6,0.1,11,0.1097715494905103,0.00977154949051029,1
10000,5,streamcore,7,0.1,7,0.07023777559794714,0.029762224402052867,1
10000,5,streamcore,8,0.1,9,0.08914933162711991,0.010850668372880096,1
10000,5,streamcore,9,0.1,10,0.08055523895117986,0.019444761048820147,1
10000,5,reservoir,0,0.1,12,0.11999999999999998,0.019999999999999976,1
10000,5,reservoir,1,0.1,15,0.15,0.04999999999999999,1
10000,5,reservoir,2,0.1,14,0.13999999999999999,0.03999999999999998,1
10000,5,reservoir,3,0.1,3,0.03,0.07,1
10000,5,reservoir,4,0.1,9,0.09,0.010000000000000009,1
10000,5,reservoir,5,0.1,7,0.07,0.03,1
10000,5,reservoir,6,0.1,8,0.08,0.020000000000000004,1
10000,5,reservoir,7,0.1,11,0.10999999999999999,0.009999999999999981,1
10000,5,reservoir,8,0.1,10,0.09999999999999999,1.3877787807814457e-17,1
10000,5,reservoir,9,0.1,11,0.10999999999999999,0.009999999999999981,1
10000,5,sliding_window,0,0.1,0,0.0,0.1,0
10000,5,sliding_window,1,0.1,0,0.0,0.1,0
10000,5,sliding_window,2,0.1,0,0.0,0.1,0
10000,5,sliding_window,3,0.1,0,0.0,0.1,0
10000,5,sliding_window,4,0.1,0,0.0,0.1,0
10000,5,sliding_window,5,0.1,0,0.0,0.1,0
10000,5,sliding_window,6,0.1,0,0.0,0.1,0
10000,5,sliding_window,7,0.1,0,0.0,0.1,0
10000,5,sliding_window,8,0.1,0,0.0,0.1,0
10000,5,sliding_window,9,0.1,100,0.9999999999999999,0.8999999999999999,1
